query,expected_file,expected_topic,query_type,answer_keywords
熵、交叉熵和KL散度三者之间有什么关系？,反向传播与优化_原理详解_徐嘉泽.md,损失函数,compare,"熵;交叉熵;KL散度;信息损失;最优编码;概率分布"
岭回归与普通最小二乘回归有什么区别？,模型正则化与泛化_实践指南_徐嘉泽.md,过拟合与正则化,compare,"岭回归;最小二乘;L2正则化;权重衰减;结构风险;经验风险"
请总结神经网络从输入到完成一次参数更新的完整训练流程,神经网络基础_入门笔记_徐嘉泽.md,神经网络基础,summary,"前向传播;损失计算;反向传播;梯度下降;参数更新;迭代;激活函数"
请总结过拟合的常见原因以及对应的正则化解决方法,过拟合与正则化_方法详解_徐嘉泽.md,过拟合与正则化,summary,"过拟合;数据不足;噪声;模型复杂;L2正则化;Dropout;Early Stopping;数据增强"
在感知器模型中，权重更新公式是什么？,深度学习入门_神经网络结构_徐嘉泽.md,神经网络基础,quiz,"权重更新;误差;学习率;输入;分类错误;迭代"
这个资料里有没有讲Transformer的注意力机制？,神经网络基础_入门笔记_徐嘉泽.md,资料外,out_of_scope,""
这个资料里有没有讲CNN的卷积核设计？,损失函数与优化器_对比与选择_徐嘉泽.md,资料外,out_of_scope,""
均方误差和平均绝对误差在处理异常值时有什么区别？,反向传播与优化_原理详解_徐嘉泽.md,损失函数,compare,MSE处理异常值放大;MAE更鲁棒;MSE处处可导;MAE不可导点;平方与绝对值
为什么分类任务中使用交叉熵损失而不是MSE?,反向传播与优化_原理详解_徐嘉泽.md,损失函数,fact,交叉熵梯度更大;log函数性质;激活函数饱和区;梯度消失;收敛速度
KL散度和交叉熵之间的关系是什么？,反向传播与优化_原理详解_徐嘉泽.md,损失函数,fact,KL散度等于交叉熵减熵;最小化交叉熵等价最小化KL散度;真实分布熵固定;信息论
梯度下降中三种策略（批量、随机、小批量）的优缺点对比是什么？,反向传播与优化_原理详解_徐嘉泽.md,梯度下降,compare,批量梯度稳定但慢;随机梯度快但噪声大;小批量折中方案;标准做法;内存消耗
反向传播算法的核心数学原理是什么？,反向传播与优化_原理详解_徐嘉泽.md,反向传播,fact,链式法则;复合函数求导;逐层传递;局部梯度;上游梯度
计算图中反向传播的规则包括哪几个步骤？,反向传播与优化_原理详解_徐嘉泽.md,反向传播,summary,从输出开始;计算局部梯度;链式法则相乘;传递给输入;多条路径相加
深层网络训练中梯度消失和梯度爆炸的原因及缓解方法是什么？,反向传播与优化_原理详解_徐嘉泽.md,深层网络训练难点,fact,链式法则连乘;梯度指数衰减增长;ReLU激活函数;批归一化;残差连接;权重初始化
前向传播、反向传播和梯度下降在神经网络训练中的分工是什么？,反向传播与优化_原理详解_徐嘉泽.md,训练流程,summary,前向传播计算预测;反向传播计算梯度;梯度下降更新参数;分工合作;循环过程
均方误差（MSE）损失函数的定义是什么？它在什么场景下适用，有什么缺点？,损失函数与优化器_对比与选择_徐嘉泽.md,损失函数/均方误差,fact,预测值与真实值差值平方和平均;回归任务;对异常值敏感
对比交叉熵损失和均方误差损失在分类任务中的性能差异，为什么分类任务不用MSE？,损失函数与优化器_对比与选择_徐嘉泽.md,损失函数/分类任务设计,compare,梯度大小;梯度消失;概率解释;收敛速度;实验验证
梯度下降算法的三种变体（BGD、SGD、Mini-Batch GD）各有什么特点和优缺点？,损失函数与优化器_对比与选择_徐嘉泽.md,优化器/梯度下降变体,compare,批量梯度下降;随机梯度下降;小批量梯度下降;速度稳定性平衡
动量（Momentum）方法的核心思想是什么？它如何加速模型训练？,损失函数与优化器_对比与选择_徐嘉泽.md,优化器/动量,fact,惯性效应;累积历史梯度;加速前进;减少震荡;跳出局部最优
Adam优化器相比SGD有什么优势？为什么Adam在快速实验中被广泛使用？,损失函数与优化器_对比与选择_徐嘉泽.md,优化器/Adam算法,compare,一阶矩估计;二阶矩估计;自适应学习率;超参数不敏感;收敛快
RMSProp优化器是如何改进AdaGrad的？它解决了AdaGrad的什么问题？,损失函数与优化器_对比与选择_徐嘉泽.md,优化器/自适应方法,fact,指数移动平均;学习率过度衰减;避免衰减问题;非凸优化
学习率调度有哪些常用策略？为什么需要在训练过程中动态调整学习率？,损失函数与优化器_对比与选择_徐嘉泽.md,优化器/学习率调度,summary,Step Decay;Cosine Annealing;Warm-up;ReduceLROnPlateau;跳出局部最优
在实践中，为了追求最佳模型性能，应该如何选择和组合损失函数、优化器和学习率策略？,损失函数与优化器_对比与选择_徐嘉泽.md,损失函数与优化器的实践应用,summary,Adam快速实验;SGD+Momentum精细调优;学习率调度;泛化性能;交叉熵与Sigmoid配合
L2正则化和L1正则化有什么区别？为什么在深度神经网络中L2更常用？,模型正则化与泛化_实践指南_徐嘉泽.md,L2正则化与L1正则化的对比,compare,L2让所有权重变小但不为零;L1会让一部分权重变为零稀疏化;神经网络特征通常联合表达不需要刻意稀疏化
模型的期望误差包括哪三个部分？每个部分代表什么含义？,模型正则化与泛化_实践指南_徐嘉泽.md,误差分解与偏差方差权衡,fact,偏差Bias;方差Variance;噪声Noise;偏差反映欠拟合;方差反映过拟合
提前停止（Early Stopping）是如何防止过拟合的？实现方式是什么？,模型正则化与泛化_实践指南_徐嘉泽.md,提前停止正则化方法,fact,监控验证集误差;在转折点之前刹车;保留泛化能力最好的状态;设置Patience参数;回退到验证误差最低的参数
为什么不能用测试集来调整超参数？三个数据集分别起什么作用？,模型正则化与泛化_实践指南_徐嘉泽.md,数据集划分与用途,fact,测试集保持陌生;模型间接偷看答案;训练集学习数据;验证集调参和监控;测试集最终评估
Dropout防止过拟合的两个解释角度分别是什么？,模型正则化与泛化_实践指南_徐嘉泽.md,Dropout正则化机制,fact,防止神经元共适应;每个神经元学会独立工作;隐式集成;多个子网络预测平均
过拟合、欠拟合和理想状态下，模型复杂度、训练误差和测试误差分别是什么表现？,模型正则化与泛化_实践指南_徐嘉泽.md,过拟合欠拟合判断方法,compare,过拟合训练误差低测试误差高;欠拟合两者都高;理想状态两者都低且差距小;模型复杂度对应不同状态
什么是结构风险最小化（SRM）？它与经验风险的关系是什么？,模型正则化与泛化_实践指南_徐嘉泽.md,经验风险与结构风险,fact,结构风险等于经验风险加模型复杂度惩罚;经验风险最小化容易过拟合;SRM平衡拟合和泛化;好的训练优化经验风险同时控制复杂度
人脑神经系统的哪个基本特征启发了人工神经网络的设计？,深度学习入门_神经网络结构_徐嘉泽.md,生物神经系统与人工神经网络的关系,fact,接收-累积-触发机制; 860亿神经元; 突触连接; 简单计算单元涌现复杂能力
连接主义的三个核心观点分别是什么？,深度学习入门_神经网络结构_徐嘉泽.md,连接主义原理,summary,分布式编码权重; 调整连接强度学习; 并行分布式处理
为什么人工神经元模型中必须包含偏置项？,深度学习入门_神经网络结构_徐嘉泽.md,神经元基本结构,fact,调节激活阈值; 输入全为0时仍产生输出; 增加模型灵活性
感知器无法解决XOR问题的原因是什么？,深度学习入门_神经网络结构_徐嘉泽.md,感知器的局限性,fact,单层感知器; 线性可分问题; 无法处理非线性关系; Minsky 1969年发现
多层前馈神经网络与感知器相比，解决了什么关键问题？,深度学习入门_神经网络结构_徐嘉泽.md,前馈神经网络结构,compare,处理非线性关系; 多层分层排列; 输入层隐藏层输出层; 信号单向传播
为什么激活函数必须是非线性的？请用数学角度解释。,深度学习入门_神经网络结构_徐嘉泽.md,激活函数的重要性,fact,线性函数复合仍为线性; 多层失去意义; 引入非线性才能表示复杂关系
对比ReLU、Sigmoid和Tanh三种激活函数在梯度消失问题上的差异。,深度学习入门_神经网络结构_徐嘉泽.md,常见激活函数对比,compare,ReLU正半轴导数恒为1; Sigmoid Tanh梯度消失; ReLU神经元死亡问题; 缓解梯度消失
L2 正则化如何通过权值衰减来防止过拟合？,过拟合与正则化_方法详解_徐嘉泽.md,L2 正则化与权值衰减,fact,权值衰减; 权重平方和; 梯度更新公式; 权重趋向小值; 模型复杂度降低
过拟合和欠拟合分别在训练损失和验证损失曲线上有什么表现？,过拟合与正则化_方法详解_徐嘉泽.md,过拟合与欠拟合的识别判断,compare,训练损失持续下降; 验证损失先降后升; 两者差距越来越大; 训练损失和验证损失都很高; 下降缓慢或停滞
为什么需要将数据划分为训练集、验证集和测试集三个部分？,过拟合与正则化_方法详解_徐嘉泽.md,数据集划分的必要性,fact,避免模型间接见过测试集; 测试集保持完全未知; 调参时反复使用测试集导致偏向乐观; 验证集用于调参和模型选择; 确保评估客观性
Dropout 的工作原理是什么，它如何产生隐式集成效果？,过拟合与正则化_方法详解_徐嘉泽.md,Dropout 正则化方法,fact,随机丢弃神经元; 每次训练使用不同网络子结构; 隐式集成; 测试时取平均; 增加鲁棒性
数据增强相比简单增加训练数据量有什么额外的好处？,过拟合与正则化_方法详解_徐嘉泽.md,数据增强防止过拟合,compare,增加数据多样性; 模型学习变换不变的特征; 隐式正则化约束; 不记忆特定样本; 只在训练时使用
Early Stopping 如何自动确定最优的训练轮数？,过拟合与正则化_方法详解_徐嘉泽.md,Early Stopping 早停方法,fact,监控验证集损失; 验证损失不再下降时停止; Patience 参数设置; 保留最佳模型; 避免学规律到记噪声的转向
在实际项目中如何选择和组合多种正则化方法？,过拟合与正则化_方法详解_徐嘉泽.md,正则化方法的综合应用策略,summary,基础组合推荐; L2 正则化加 Dropout; 图像任务组合策略; 正则化强度需要实验调参; 在验证集上监控效果
