query,expected_file,expected_topic,query_type,answer_keywords
梯度裁剪Gradient Clipping是如何解决梯度爆炸问题的？,模型训练_流程与常见问题_陈科宇.md,模型训练,fact,阈值;范数限制;缩放;防止过大
批量梯度下降BGD和随机梯度下降SGD在更新方式上有什么区别？,模型训练_流程与常见问题_陈科宇.md,模型训练,compare,全部数据;单个样本;稳定;波动;内存
Cosine Annealing和Step Decay两种学习率调度策略各有什么特点？,模型训练_流程与常见问题_陈科宇.md,模型训练,compare,余弦;周期性;阶梯;固定间隔;平滑
在深度学习模型训练中，如何判断模型是否出现了过拟合，应该采取哪些应对措施？,模型训练_流程与常见问题_陈科宇.md,模型训练,summary,训练集;验证集;损失差距;正则化;Dropout;数据增强;早停
这个资料里有没有讲股票预测的时间序列方法？,模型训练_流程与常见问题_陈科宇.md,资料外,out_of_scope,
网格搜索Grid Search的基本原理是什么？,模型调参_超参数优化方法_陈科宇.md,模型调参,fact,穷举;候选值;组合;全面;计算量
贝叶斯优化在超参数搜索中相比网格搜索有什么优势？,模型调参_超参数优化方法_陈科宇.md,模型调参,fact,代理模型;智能选择;效率高;计算昂贵
学习率过大或过小分别会对训练产生什么影响？,模型调参_超参数优化方法_陈科宇.md,模型调参,fact,震荡;发散;收敛慢;局部最优;适中
Dropout率一般设置在什么范围，它的作用是什么？,模型调参_超参数优化方法_陈科宇.md,模型调参,fact,0.1;0.5;随机失活;正则化;防止过拟合
Weight Decay权重衰减和L2正则化是什么关系？,模型调参_超参数优化方法_陈科宇.md,模型调参,fact,等价;惩罚项;权重大小;防止过拟合
网格搜索和随机搜索在超参数优化中各有什么优缺点？,模型调参_超参数优化方法_陈科宇.md,模型调参,compare,穷举;计算量大;随机采样;效率高;覆盖范围
小批量和大批量训练在梯度估计和收敛特性上有什么区别？,模型调参_超参数优化方法_陈科宇.md,模型调参,compare,噪声;跳出局部最优;估计准确;内存;学习率
深度学习模型调参的一般顺序和注意事项有哪些？,模型调参_超参数优化方法_陈科宇.md,模型调参,summary,学习率;网络结构;正则化;控制变量;验证集;记录
这个资料里有没有讲AutoML自动机器学习？,模型调参_超参数优化方法_陈科宇.md,资料外,out_of_scope,
实验结果分析中混淆矩阵的四个基本元素是什么？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,fact,真正例;假正例;真反例;假反例;TP;FP;TN;FN
精确率Precision和召回率Recall的定义分别是什么？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,fact,TP/(TP+FP);TP/(TP+FN);预测为正;实际为正
F1分数为什么被称为精确率和召回率的调和平均？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,fact,2PR/(P+R);平衡;综合;单一指标
K折交叉验证的主要作用是什么？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,fact,减少随机性;可靠;划分;轮流验证;平均
ROC曲线的横轴和纵轴分别代表什么？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,fact,假正例率;真正例率;FPR;TPR;阈值
准确率Accuracy和F1分数在什么场景下会有明显差异，应该优先看哪个？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,compare,类别不平衡;精确率;召回率;调和平均;综合评价
MSE和MAE作为回归指标，对异常值的敏感度有什么区别？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,compare,平方;放大;绝对值;鲁棒;异常值
如何通过损失曲线判断模型是过拟合、欠拟合还是拟合良好？,实验结果分析_评估指标与诊断_陈科宇.md,实验结果分析,summary,训练损失;验证损失;差距;上升;下降;接近
这个资料里有没有讲世界杯足球比赛预测？,实验结果分析_评估指标与诊断_陈科宇.md,资料外,out_of_scope,
