query,expected_file,expected_topic,query_type,answer_keywords
GRU 和 LSTM 的主要区别是什么？,RNN_LSTM与序列建模_可靠资料整理.md,GRU,compare,"GRU;LSTM;更新门;重置门;参数更少"
RNN、LSTM 和 Transformer 处理序列的方式有什么区别？,RNN_LSTM与序列建模_可靠资料整理.md,序列建模,compare,"RNN;LSTM;Transformer;递归;门控;自注意力"
注意力机制中的 Query、Key、Value 分别表示什么？,Attention与Transformer_可靠资料整理.md,Transformer,fact,"Query;Key;Value;相似度;加权求和"
缩放点积注意力为什么要除以 sqrt(d_k)？,Attention与Transformer_可靠资料整理.md,Attention,fact,"缩放;点积;softmax;梯度;稳定"
多头注意力相比单头注意力有什么优势？,Attention与Transformer_可靠资料整理.md,Transformer,fact,"多头注意力;表示子空间;位置关系;语义;表达能力"
Transformer 为什么需要位置编码？,Attention与Transformer_可靠资料整理.md,Transformer,fact,"位置编码;顺序信息;自注意力;token;序列"
BERT 类模型和 GPT 类模型的主要区别是什么？,Attention与Transformer_可靠资料整理.md,Transformer,compare,"BERT;GPT;Encoder;Decoder;理解;生成"
Embedding 在语义检索中起什么作用？,Embedding语义检索与微调_可靠资料整理.md,Embedding,fact,"Embedding;向量空间;语义相似;问题;chunk"
为什么中文知识检索需要中文或多语种 embedding 模型？,Embedding语义检索与微调_可靠资料整理.md,Embedding,fact,"中文;分词;预训练模型;语义检索;BGE"
FAISS 在 CourseMind 检索链路中负责什么？,Embedding语义检索与微调_可靠资料整理.md,FAISS,fact,"FAISS;向量索引;近邻搜索;Top-K;chunk"
Embedding 微调中的 query、positive 和 negative 分别是什么？,Embedding语义检索与微调_可靠资料整理.md,Embedding,fact,"query;positive;negative;拉近;拉远;训练目标"
小数据微调 embedding 有哪些过拟合风险？,Embedding语义检索与微调_可靠资料整理.md,微调,fact,"小数据;过拟合;验证集;学习率;Recall@5"
为什么 CourseMind 需要 questions.csv 而不只是 raw 资料？,训练评估与实验方法_可靠资料整理.md,训练评估,fact,"questions.csv;评估;训练pair;Recall@5;expected_file"
Recall@K 和 MRR 分别衡量什么？,训练评估与实验方法_可靠资料整理.md,训练评估,compare,"Recall@K;MRR;Top-K;排序;正确资料"
什么是消融实验？CourseMind 可以做哪些消融？,训练评估与实验方法_可靠资料整理.md,训练评估,fact,"消融实验;BM25;GraphRAG;MiniRanker;fine-tuned embedding"
为什么不能只看训练集命中率判断微调效果？,训练评估与实验方法_可靠资料整理.md,训练评估,fact,"训练集;验证集;测试集;过拟合;泛化"
请总结 CourseMind 的深度学习检索实验应该如何设计。,训练评估与实验方法_可靠资料整理.md,训练评估,summary,"数据集;训练集;验证集;Recall@5;MRR;消融实验"
这个资料里有没有讲股票预测策略？,训练评估与实验方法_可靠资料整理.md,资料外,out_of_scope,""
这个资料里有没有讲 YOLOv10 的模型结构？,CNN卷积神经网络_可靠资料整理.md,资料外,out_of_scope,""
